BADANIE;00:10:47;;
plik:;g/gr8s.txt
wynik optymalny:;202
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;sciezka
1;2;202;6 7 5 0 3 2 4 1 6
2;6;202;1 6 7 5 0 3 2 4 1
3;3;202;0 5 7 6 1 4 2 3 0
4;4;202;2 4 1 6 7 5 0 3 2
5;6;202;3 0 5 7 6 1 4 2 3
6;4;202;5 0 3 2 4 1 6 7 5
7;4;202;5 0 3 2 4 1 6 7 5
8;7;202;1 6 7 5 0 3 2 4 1
9;4;202;4 2 3 0 5 7 6 1 4
10;4;202;2 4 1 6 7 5 0 3 2
11;6;202;5 0 3 2 4 1 6 7 5
12;13;202;2 4 1 6 7 5 0 3 2
13;6;202;6 7 5 0 3 2 4 1 6
14;4;202;3 0 5 7 6 1 4 2 3
15;5;202;3 0 5 7 6 1 4 2 3
sredni czas [ms]
5


plik:;g/gr9s.txt
wynik optymalny:;215
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;sciezka
1;8;215;1 6 7 8 2 4 3 0 5 1
2;9;215;5 1 6 7 8 2 4 3 0 5
3;5;215;3 0 5 1 6 7 8 2 4 3
4;7;215;8 7 6 1 5 0 3 4 2 8
5;5;215;7 6 1 5 0 3 4 2 8 7
6;7;215;2 4 3 0 5 1 6 7 8 2
7;8;215;2 4 3 0 5 1 6 7 8 2
8;8;215;8 7 6 1 5 0 3 4 2 8
9;5;215;6 1 5 0 3 4 2 8 7 6
10;5;215;7 6 1 5 0 3 4 2 8 7
11;7;215;2 4 3 0 5 1 6 7 8 2
12;8;215;1 6 7 8 2 4 3 0 5 1
13;5;215;0 5 1 6 7 8 2 4 3 0
14;8;215;3 0 5 1 6 7 8 2 4 3
15;6;215;7 6 1 5 0 3 4 2 8 7
sredni czas [ms]
6


plik:;g/gr10s.txt
wynik optymalny:;212
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;10;212;0 5 1 9 6 7 8 2 4 3 0
2;13;212;9 1 5 0 3 4 2 8 7 6 9
3;13;212;1 9 6 7 8 2 4 3 0 5 1
4;15;212;5 1 9 6 7 8 2 4 3 0 5
5;14;212;4 2 8 7 6 9 1 5 0 3 4
6;10;212;7 8 2 4 3 0 5 1 9 6 7
7;15;212;4 2 8 7 6 9 1 5 0 3 4
8;12;212;8 7 6 9 1 5 0 3 4 2 8
9;9;212;0 5 1 9 6 7 8 2 4 3 0
10;11;212;7 8 2 4 3 0 5 1 9 6 7
11;10;212;0 5 1 9 6 7 8 2 4 3 0
12;14;212;2 8 7 6 9 1 5 0 3 4 2
13;11;212;6 7 8 2 4 3 0 5 1 9 6
14;28;212;2 8 7 6 9 1 5 0 3 4 2
15;15;212;4 2 8 7 6 9 1 5 0 3 4
sredni czas [ms]
13


plik:;g/gr11s.txt
wynik optymalny:;251
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;sciezka
1;9;251;4 8 1 0 10 3 5 7 9 2 6 4
2;7;251;2 6 4 8 1 0 10 3 5 7 9 2
3;6;251;5 3 10 0 1 8 4 6 2 9 7 5
4;10;251;7 9 2 6 4 8 1 0 10 3 5 7
5;7;251;2 6 4 8 1 0 10 3 5 7 9 2
6;6;251;10 0 1 8 4 6 2 9 7 5 3 10
7;10;251;9 7 5 3 10 0 1 8 4 6 2 9
8;10;251;1 8 4 6 2 9 7 5 3 10 0 1
9;9;251;4 8 1 0 10 3 5 7 9 2 6 4
10;11;251;8 4 6 2 9 7 5 3 10 0 1 8
11;11;251;8 4 6 2 9 7 5 3 10 0 1 8
12;10;251;1 8 4 6 2 9 7 5 3 10 0 1
13;9;251;4 8 1 0 10 3 5 7 9 2 6 4
14;7;251;2 6 4 8 1 0 10 3 5 7 9 2
15;6;251;5 3 10 0 1 8 4 6 2 9 7 5
sredni czas [ms]
8


plik:;g/gr12s.txt
wynik optymalny:;264
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;sciezka
1;8;264;0 1 8 4 6 2 11 9 7 5 3 10 0
2;8;264;2 6 4 8 1 0 10 3 5 7 9 11 2
3;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
4;11;264;4 6 2 11 9 7 5 3 10 0 1 8 4
5;11;264;8 4 6 2 11 9 7 5 3 10 0 1 8
6;10;264;1 8 4 6 2 11 9 7 5 3 10 0 1
7;9;264;11 2 6 4 8 1 0 10 3 5 7 9 11
8;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
9;8;264;11 2 6 4 8 1 0 10 3 5 7 9 11
10;15;264;9 11 2 6 4 8 1 0 10 3 5 7 9
11;16;264;9 11 2 6 4 8 1 0 10 3 5 7 9
12;7;264;3 5 7 9 11 2 6 4 8 1 0 10 3
13;9;264;1 8 4 6 2 11 9 7 5 3 10 0 1
14;11;264;6 4 8 1 0 10 3 5 7 9 11 2 6
15;6;264;3 5 7 9 11 2 6 4 8 1 0 10 3
sredni czas [ms]
10


plik:;g/gr13s.txt
wynik optymalny:;269
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;sciezka
1;17;269;2 6 4 8 1 12 0 10 3 5 7 9 11 2
2;12;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
3;24;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
4;10;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
5;19;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
6;24;269;8 1 12 0 10 3 5 7 9 11 2 6 4 8
7;9;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
8;18;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
9;20;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
10;28;269;6 2 11 9 7 5 3 10 0 12 1 8 4 6
11;19;269;4 8 1 12 0 10 3 5 7 9 11 2 6 4
12;20;269;7 9 11 2 6 4 8 1 12 0 10 3 5 7
13;15;269;1 12 0 10 3 5 7 9 11 2 6 4 8 1
14;21;269;11 2 6 4 8 1 12 0 10 3 5 7 9 11
15;10;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
sredni czas [ms]
17


plik:;g/gr14s.txt
wynik optymalny:;282
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;sciezka
1;44;282;3 10 0 12 1 8 4 6 2 11 13 9 7 5 3
2;58;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
3;58;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
4;67;282;2 6 4 8 1 12 0 10 3 5 7 9 13 11 2
5;58;282;7 5 3 10 0 12 1 8 4 6 2 11 13 9 7
6;77;282;8 1 12 0 10 3 5 7 9 13 11 2 6 4 8
7;65;282;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
8;68;282;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
9;38;282;13 11 2 6 4 8 1 12 0 10 3 5 7 9 13
10;62;282;10 0 12 1 8 4 6 2 11 13 9 7 5 3 10
11;72;282;1 8 4 6 2 11 13 9 7 5 3 10 0 12 1
12;66;282;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
13;57;282;9 7 5 3 10 0 12 1 8 4 6 2 11 13 9
14;70;282;2 6 4 8 1 12 0 10 3 5 7 9 13 11 2
15;65;282;0 12 1 8 4 6 2 11 13 9 7 5 3 10 0
sredni czas [ms]
61


plik:;g/gr15s.txt
wynik optymalny:;291
liczba wierzcholkow:;15
iteracja;czas [ms];wynik;sciezka
1;166;291;1 12 0 10 3 5 7 9 13 11 2 6 4 8 14 1
2;123;291;5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 5
3;160;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
4;145;291;9 13 11 2 6 4 8 14 1 12 0 10 3 5 7 9
5;100;291;13 11 2 6 4 8 14 1 12 0 10 3 5 7 9 13
6;164;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
7;149;291;10 0 12 1 14 8 4 6 2 11 13 9 7 5 3 10
8;100;291;13 11 2 6 4 8 14 1 12 0 10 3 5 7 9 13
9;150;291;9 13 11 2 6 4 8 14 1 12 0 10 3 5 7 9
10;161;291;8 14 1 12 0 10 3 5 7 9 13 11 2 6 4 8
11;126;291;5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 5
12;101;291;11 2 6 4 8 14 1 12 0 10 3 5 7 9 13 11
13;101;291;13 11 2 6 4 8 14 1 12 0 10 3 5 7 9 13
14;178;291;4 8 14 1 12 0 10 3 5 7 9 13 11 2 6 4
15;127;291;5 7 9 13 11 2 6 4 8 14 1 12 0 10 3 5
sredni czas [ms]
136


plik:;g/gr16s.txt
wynik optymalny:;268
liczba wierzcholkow:;16
iteracja;czas [ms];wynik;sciezka
1;2294;268;8 4 12 5 6 2 7 11 15 10 1 13 14 3 9 0 8
2;1966;268;5 12 4 8 0 9 3 14 13 1 10 15 11 7 2 6 5
3;2677;268;1 13 14 3 9 0 8 4 12 5 6 2 7 11 15 10 1
4;2660;268;1 13 14 3 9 0 8 4 12 5 6 2 7 11 15 10 1
5;2456;268;9 0 8 4 12 5 6 2 7 11 15 10 1 13 14 3 9
6;1984;268;11 15 10 1 13 14 3 9 0 8 4 12 5 6 2 7 11
7;1951;268;5 12 4 8 0 9 3 14 13 1 10 15 11 7 2 6 5
8;1996;268;11 15 10 1 13 14 3 9 0 8 4 12 5 6 2 7 11
9;1694;268;6 2 7 11 15 10 1 13 14 3 9 0 8 4 12 5 6
10;2675;268;1 13 14 3 9 0 8 4 12 5 6 2 7 11 15 10 1
11;1965;268;5 12 4 8 0 9 3 14 13 1 10 15 11 7 2 6 5
12;2662;268;1 13 14 3 9 0 8 4 12 5 6 2 7 11 15 10 1
13;2865;268;13 14 3 9 0 8 4 12 5 6 2 7 11 15 10 1 13
14;1975;268;11 15 10 1 13 14 3 9 0 8 4 12 5 6 2 7 11
15;1459;268;2 6 5 12 4 8 0 9 3 14 13 1 10 15 11 7 2
sredni czas [ms]
2218


plik:;g/gr17s.txt
wynik optymalny:;292
liczba wierzcholkow:;17
iteracja;czas [ms];wynik;sciezka
1;7585;292;8 11 15 10 1 13 14 3 0 9 16 7 2 6 5 12 4 8
2;6790;292;12 5 6 2 7 16 9 0 3 14 13 1 10 15 11 8 4 12
3;6163;292;6 5 12 4 8 11 15 10 1 13 14 3 0 9 16 7 2 6
4;8895;292;7 2 6 5 12 4 8 11 15 10 1 13 14 3 0 9 16 7
5;6141;292;6 5 12 4 8 11 15 10 1 13 14 3 0 9 16 7 2 6
6;3949;292;2 7 16 9 0 3 14 13 1 10 15 11 8 4 12 5 6 2
7;9078;292;0 9 16 7 2 6 5 12 4 8 11 15 10 1 13 14 3 0
8;7747;292;15 10 1 13 14 3 0 9 16 7 2 6 5 12 4 8 11 15
9;9648;292;1 13 14 3 0 9 16 7 2 6 5 12 4 8 11 15 10 1
10;9078;292;0 9 16 7 2 6 5 12 4 8 11 15 10 1 13 14 3 0
11;7748;292;15 10 1 13 14 3 0 9 16 7 2 6 5 12 4 8 11 15
12;6841;292;12 5 6 2 7 16 9 0 3 14 13 1 10 15 11 8 4 12
13;3951;292;2 7 16 9 0 3 14 13 1 10 15 11 8 4 12 5 6 2
14;3945;292;2 7 16 9 0 3 14 13 1 10 15 11 8 4 12 5 6 2
15;7510;292;8 11 15 10 1 13 14 3 0 9 16 7 2 6 5 12 4 8
sredni czas [ms]
7004


plik:;g/gr18s.txt
wynik optymalny:;294
liczba wierzcholkow:;18
iteracja;czas [ms];wynik;sciezka
1;23216;294;6 5 12 4 8 17 10 1 13 14 3 0 9 16 2 7 11 15 6
2;16848;294;2 16 9 0 3 14 13 1 10 17 8 4 12 5 6 15 11 7 2
3;24008;294;5 12 4 8 17 10 1 13 14 3 0 9 16 2 7 11 15 6 5
4;23260;294;6 5 12 4 8 17 10 1 13 14 3 0 9 16 2 7 11 15 6
5;16812;294;2 16 9 0 3 14 13 1 10 17 8 4 12 5 6 15 11 7 2
6;33356;294;17 8 4 12 5 6 15 11 7 2 16 9 0 3 14 13 1 10 17
7;34042;294;17 8 4 12 5 6 15 11 7 2 16 9 0 3 14 13 1 10 17
8;23605;294;12 5 6 15 11 7 2 16 9 0 3 14 13 1 10 17 8 4 12
9;30778;294;13 1 10 17 8 4 12 5 6 15 11 7 2 16 9 0 3 14 13
10;33305;294;3 0 9 16 2 7 11 15 6 5 12 4 8 17 10 1 13 14 3
11;30677;294;9 16 2 7 11 15 6 5 12 4 8 17 10 1 13 14 3 0 9
12;24548;294;11 7 2 16 9 0 3 14 13 1 10 17 8 4 12 5 6 15 11
13;22156;294;12 5 6 15 11 7 2 16 9 0 3 14 13 1 10 17 8 4 12
14;32986;294;3 0 9 16 2 7 11 15 6 5 12 4 8 17 10 1 13 14 3
15;30641;294;13 1 10 17 8 4 12 5 6 15 11 7 2 16 9 0 3 14 13
sredni czas [ms]
26682


BADANIE;01:19:42
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr19s.txt,g/gr20s.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr19s.txt
wynik optymalny:;309
liczba wierzcholkow:;19
iteracja;czas [ms];wynik;sciezka
1;56684;309;14 13 1 10 15 11 7 16 2 18 5 6 12 4 8 17 0 9 3 14
sredni czas [ms]
56684


plik:;g/gr20s.txt
wynik optymalny:;330
liczba wierzcholkow:;20
iteracja;czas [ms];wynik;sciezka
1;137773;330;0 19 11 15 16 7 2 18 5 6 12 4 8 17 10 1 13 14 3 9 0
sredni czas [ms]
137773


BADANIE;01:24:44
metoda:;branch and bound
konfiguracja:;branches=3         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt,g/gr14s.txt,g/gr15s.txt,g/gr16s.txt,g/gr17s.txt,g/gr18s.txt,g/gr19s.txt,g/gr20s.txt, iterations=15, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr6s.txt
wynik optymalny:;158
liczba wierzcholkow:;6
iteracja;czas [ms];wynik;sciezka
1;3;158;1 5 0 3 2 4 1
2;0;158;5 1 4 2 3 0 5
3;0;158;5 1 4 2 3 0 5
4;0;158;1 5 0 3 2 4 1
5;0;158;4 2 3 0 5 1 4
6;0;158;3 2 4 1 5 0 3
7;0;158;4 2 3 0 5 1 4
8;0;158;5 1 4 2 3 0 5
9;0;158;1 5 0 3 2 4 1
10;0;158;1 5 0 3 2 4 1
11;0;158;1 5 0 3 2 4 1
12;0;158;3 2 4 1 5 0 3
13;0;158;2 4 1 5 0 3 2
14;0;158;3 2 4 1 5 0 3
15;0;158;3 2 4 1 5 0 3
sredni czas [ms]
0


plik:;g/gr7s.txt
wynik optymalny:;215
liczba wierzcholkow:;7
iteracja;czas [ms];wynik;sciezka
1;0;215;5 1 6 4 2 3 0 5
2;1;215;3 2 4 6 1 5 0 3
3;1;215;4 6 1 5 0 3 2 4
4;0;215;5 1 6 4 2 3 0 5
5;0;215;6 4 2 3 0 5 1 6
6;1;215;2 4 6 1 5 0 3 2
7;0;215;1 6 4 2 3 0 5 1
8;1;215;3 2 4 6 1 5 0 3
9;0;215;1 6 4 2 3 0 5 1
10;0;215;4 6 1 5 0 3 2 4
11;1;215;2 4 6 1 5 0 3 2
12;0;215;6 4 2 3 0 5 1 6
13;0;215;1 6 4 2 3 0 5 1
14;0;215;1 6 4 2 3 0 5 1
15;1;215;0 5 1 6 4 2 3 0
sredni czas [ms]
0


plik:;g/gr8s.txt
wynik optymalny:;202
liczba wierzcholkow:;8
iteracja;czas [ms];wynik;sciezka
1;1;202;5 7 6 1 4 2 3 0 5
2;2;202;4 2 3 0 5 7 6 1 4
3;1;202;4 2 3 0 5 7 6 1 4
4;2;202;3 2 4 1 6 7 5 0 3
5;2;202;2 4 1 6 7 5 0 3 2
6;2;202;4 2 3 0 5 7 6 1 4
7;1;202;5 7 6 1 4 2 3 0 5
8;2;202;0 5 7 6 1 4 2 3 0
9;2;202;3 2 4 1 6 7 5 0 3
10;1;202;2 4 1 6 7 5 0 3 2
11;1;202;7 6 1 4 2 3 0 5 7
12;2;202;2 4 1 6 7 5 0 3 2
13;1;202;7 6 1 4 2 3 0 5 7
14;1;202;0 5 7 6 1 4 2 3 0
15;1;202;3 2 4 1 6 7 5 0 3
sredni czas [ms]
1


plik:;g/gr9s.txt
wynik optymalny:;215
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;sciezka
1;3;215;5 1 6 7 8 2 4 3 0 5
2;3;215;0 5 1 6 7 8 2 4 3 0
3;3;215;5 1 6 7 8 2 4 3 0 5
4;3;215;1 6 7 8 2 4 3 0 5 1
5;2;215;8 7 6 1 5 0 3 4 2 8
6;2;215;4 3 0 5 1 6 7 8 2 4
7;2;215;6 7 8 2 4 3 0 5 1 6
8;3;215;0 5 1 6 7 8 2 4 3 0
9;4;215;1 6 7 8 2 4 3 0 5 1
10;2;215;6 7 8 2 4 3 0 5 1 6
11;2;215;4 3 0 5 1 6 7 8 2 4
12;4;215;3 4 2 8 7 6 1 5 0 3
13;2;215;4 3 0 5 1 6 7 8 2 4
14;2;215;6 7 8 2 4 3 0 5 1 6
15;2;215;8 7 6 1 5 0 3 4 2 8
sredni czas [ms]
2


plik:;g/gr10s.txt
wynik optymalny:;212
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;6;212;6 9 1 5 0 3 4 2 8 7 6
2;11;212;3 4 2 8 7 6 9 1 5 0 3
3;6;212;6 9 1 5 0 3 4 2 8 7 6
4;11;212;5 1 9 6 7 8 2 4 3 0 5
5;6;212;2 8 7 6 9 1 5 0 3 4 2
6;8;212;7 8 2 4 3 0 5 1 9 6 7
7;7;212;9 6 7 8 2 4 3 0 5 1 9
8;11;212;3 4 2 8 7 6 9 1 5 0 3
9;6;212;1 9 6 7 8 2 4 3 0 5 1
10;10;212;5 1 9 6 7 8 2 4 3 0 5
11;7;212;9 6 7 8 2 4 3 0 5 1 9
12;9;212;7 8 2 4 3 0 5 1 9 6 7
13;8;212;8 7 6 9 1 5 0 3 4 2 8
14;8;212;8 7 6 9 1 5 0 3 4 2 8
15;11;212;3 4 2 8 7 6 9 1 5 0 3
sredni czas [ms]
8


plik:;g/gr11s.txt
wynik optymalny:;251
liczba wierzcholkow:;11
iteracja;czas [ms];wynik;sciezka
1;9;251;5 7 9 2 6 4 8 1 0 10 3 5
2;33;251;4 8 1 0 10 3 5 7 9 2 6 4
3;10;251;3 10 0 1 8 4 6 2 9 7 5 3
4;11;251;5 7 9 2 6 4 8 1 0 10 3 5
5;11;251;3 10 0 1 8 4 6 2 9 7 5 3
6;23;251;10 3 5 7 9 2 6 4 8 1 0 10
7;16;251;1 8 4 6 2 9 7 5 3 10 0 1
8;23;251;10 3 5 7 9 2 6 4 8 1 0 10
9;10;251;3 10 0 1 8 4 6 2 9 7 5 3
10;13;251;0 10 3 5 7 9 2 6 4 8 1 0
11;32;251;4 8 1 0 10 3 5 7 9 2 6 4
12;11;251;3 10 0 1 8 4 6 2 9 7 5 3
13;24;251;6 4 8 1 0 10 3 5 7 9 2 6
14;17;251;2 9 7 5 3 10 0 1 8 4 6 2
15;13;251;7 9 2 6 4 8 1 0 10 3 5 7
sredni czas [ms]
17


plik:;g/gr12s.txt
wynik optymalny:;264
liczba wierzcholkow:;12
iteracja;czas [ms];wynik;sciezka
1;25;264;9 11 2 6 4 8 1 0 10 3 5 7 9
2;29;264;3 10 0 1 8 4 6 2 11 9 7 5 3
3;29;264;3 10 0 1 8 4 6 2 11 9 7 5 3
4;18;264;5 7 9 11 2 6 4 8 1 0 10 3 5
5;30;264;1 8 4 6 2 11 9 7 5 3 10 0 1
6;43;264;10 3 5 7 9 11 2 6 4 8 1 0 10
7;29;264;11 9 7 5 3 10 0 1 8 4 6 2 11
8;39;264;0 10 3 5 7 9 11 2 6 4 8 1 0
9;31;264;1 8 4 6 2 11 9 7 5 3 10 0 1
10;47;264;4 8 1 0 10 3 5 7 9 11 2 6 4
11;19;264;2 11 9 7 5 3 10 0 1 8 4 6 2
12;45;264;4 8 1 0 10 3 5 7 9 11 2 6 4
13;29;264;1 8 4 6 2 11 9 7 5 3 10 0 1
14;25;264;9 11 2 6 4 8 1 0 10 3 5 7 9
15;20;264;7 9 11 2 6 4 8 1 0 10 3 5 7
sredni czas [ms]
30


plik:;g/gr13s.txt
wynik optymalny:;269
liczba wierzcholkow:;13
iteracja;czas [ms];wynik;sciezka
1;40;269;0 12 1 8 4 6 2 11 9 7 5 3 10 0
2;41;269;0 12 1 8 4 6 2 11 9 7 5 3 10 0
3;49;269;9 11 2 6 4 8 1 12 0 10 3 5 7 9
4;54;269;3 10 0 12 1 8 4 6 2 11 9 7 5 3
5;40;269;0 12 1 8 4 6 2 11 9 7 5 3 10 0
6;53;269;3 10 0 12 1 8 4 6 2 11 9 7 5 3
7;41;269;7 9 11 2 6 4 8 1 12 0 10 3 5 7
8;64;269;11 9 7 5 3 10 0 12 1 8 4 6 2 11
9;78;269;2 11 9 7 5 3 10 0 12 1 8 4 6 2
10;65;269;8 4 6 2 11 9 7 5 3 10 0 12 1 8
11;87;269;6 4 8 1 12 0 10 3 5 7 9 11 2 6
12;40;269;7 9 11 2 6 4 8 1 12 0 10 3 5 7
13;39;269;5 7 9 11 2 6 4 8 1 12 0 10 3 5
14;37;269;1 12 0 10 3 5 7 9 11 2 6 4 8 1
15;67;269;8 4 6 2 11 9 7 5 3 10 0 12 1 8
sredni czas [ms]
53


plik:;g/gr14s.txt
wynik optymalny:;282
liczba wierzcholkow:;14
iteracja;czas [ms];wynik;sciezka
1;75;282;11 13 9 7 5 3 10 0 12 1 8 4 6 2 11
2;75;282;11 13 9 7 5 3 10 0 12 1 8 4 6 2 11
3;81;282;1 12 0 10 3 5 7 9 13 11 2 6 4 8 1
4;105;282;13 11 2 6 4 8 1 12 0 10 3 5 7 9 13
5;78;282;9 13 11 2 6 4 8 1 12 0 10 3 5 7 9
6;77;282;9 13 11 2 6 4 8 1 12 0 10 3 5 7 9
7;60;282;5 7 9 13 11 2 6 4 8 1 12 0 10 3 5
8;87;282;12 1 8 4 6 2 11 13 9 7 5 3 10 0 12
9;76;282;11 13 9 7 5 3 10 0 12 1 8 4 6 2 11
