BADANIE;20:21:43;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr7.txt,g/gr8.txt,g/gr9.txt,g/gr10.txt,g/gr11.txt,g/gr12.txt,g/gr13.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr7.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;0;146;0 4 5 3 6 1 2 0
2;0;146;0 4 5 3 6 1 2 0
3;0;146;0 4 5 3 6 1 2 0
4;0;146;0 4 5 3 6 1 2 0
5;0;146;0 4 5 3 6 1 2 0
6;0;146;0 4 5 3 6 1 2 0
7;0;146;0 4 5 3 6 1 2 0
8;0;146;0 4 5 3 6 1 2 0
9;0;146;0 4 5 3 6 1 2 0
10;0;146;0 4 5 3 6 1 2 0
11;0;146;0 4 5 3 6 1 2 0
12;0;146;0 4 5 3 6 1 2 0
13;0;146;0 4 5 3 6 1 2 0
14;0;146;0 4 5 3 6 1 2 0
15;0;146;0 4 5 3 6 1 2 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8.txt;;
wynik optymalny:;162;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;0;162;0 1 2 7 6 4 5 3 0
2;0;162;0 1 2 7 6 4 5 3 0
3;0;162;0 1 2 7 6 4 5 3 0
4;0;162;0 1 2 7 6 4 5 3 0
5;0;162;0 1 2 7 6 4 5 3 0
6;1;162;0 1 2 7 6 4 5 3 0
7;0;162;0 1 2 7 6 4 5 3 0
8;0;162;0 1 2 7 6 4 5 3 0
9;0;162;0 1 2 7 6 4 5 3 0
10;0;162;0 1 2 7 6 4 5 3 0
11;0;162;0 1 2 7 6 4 5 3 0
12;0;162;0 1 2 7 6 4 5 3 0
13;1;162;0 1 2 7 6 4 5 3 0
14;0;162;0 1 2 7 6 4 5 3 0
15;0;162;0 1 2 7 6 4 5 3 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr9.txt;;
wynik optymalny:;193;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;6;193;0 1 2 7 8 5 6 4 3 0
2;6;193;0 1 2 7 8 5 6 4 3 0
3;7;193;0 1 2 7 8 5 6 4 3 0
4;7;193;0 1 2 7 8 5 6 4 3 0
5;6;193;0 1 2 7 8 5 6 4 3 0
6;6;193;0 1 2 7 8 5 6 4 3 0
7;7;193;0 1 2 7 8 5 6 4 3 0
8;6;193;0 1 2 7 8 5 6 4 3 0
9;6;193;0 1 2 7 8 5 6 4 3 0
10;6;193;0 1 2 7 8 5 6 4 3 0
11;8;193;0 1 2 7 8 5 6 4 3 0
12;6;193;0 1 2 7 8 5 6 4 3 0
13;6;193;0 1 2 7 8 5 6 4 3 0
14;6;193;0 1 2 7 8 5 6 4 3 0
15;6;193;0 1 2 7 8 5 6 4 3 0
sredni czas [ms];;;
6;;;
;;;
;;;
plik:;g/gr10.txt;;
wynik optymalny:;209;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;60;209;0 1 9 4 5 3 6 7 8 2 0
2;60;209;0 1 9 4 5 3 6 7 8 2 0
3;60;209;0 1 9 4 5 3 6 7 8 2 0
4;58;209;0 1 9 4 5 3 6 7 8 2 0
5;60;209;0 1 9 4 5 3 6 7 8 2 0
6;59;209;0 1 9 4 5 3 6 7 8 2 0
7;58;209;0 1 9 4 5 3 6 7 8 2 0
8;63;209;0 1 9 4 5 3 6 7 8 2 0
9;78;209;0 1 9 4 5 3 6 7 8 2 0
10;64;209;0 1 9 4 5 3 6 7 8 2 0
11;62;209;0 1 9 4 5 3 6 7 8 2 0
12;58;209;0 1 9 4 5 3 6 7 8 2 0
13;57;209;0 1 9 4 5 3 6 7 8 2 0
14;57;209;0 1 9 4 5 3 6 7 8 2 0
15;61;209;0 1 9 4 5 3 6 7 8 2 0
sredni czas [ms];;;
61;;;
;;;
;;;
plik:;g/gr11.txt;;
wynik optymalny:;115;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
1;584;115;0 7 1 8 5 10 2 6 9 4 3 0
2;613;115;0 7 1 8 5 10 2 6 9 4 3 0
3;574;115;0 7 1 8 5 10 2 6 9 4 3 0
4;584;115;0 7 1 8 5 10 2 6 9 4 3 0
5;581;115;0 7 1 8 5 10 2 6 9 4 3 0
6;577;115;0 7 1 8 5 10 2 6 9 4 3 0
7;574;115;0 7 1 8 5 10 2 6 9 4 3 0
8;578;115;0 7 1 8 5 10 2 6 9 4 3 0
9;572;115;0 7 1 8 5 10 2 6 9 4 3 0
10;575;115;0 7 1 8 5 10 2 6 9 4 3 0
11;571;115;0 7 1 8 5 10 2 6 9 4 3 0
12;570;115;0 7 1 8 5 10 2 6 9 4 3 0
13;583;115;0 7 1 8 5 10 2 6 9 4 3 0
14;583;115;0 7 1 8 5 10 2 6 9 4 3 0
15;580;115;0 7 1 8 5 10 2 6 9 4 3 0
sredni czas [ms];;;
579;;;
;;;
;;;
plik:;g/gr12.txt;;
wynik optymalny:;244;;
liczba wierzcholkow:;12;;
iteracja;czas [ms];wynik;sciezka
1;6457;244;0 1 2 9 4 3 6 7 11 8 5 10 0
2;6438;244;0 1 2 9 4 3 6 7 11 8 5 10 0
3;6470;244;0 1 2 9 4 3 6 7 11 8 5 10 0
4;6425;244;0 1 2 9 4 3 6 7 11 8 5 10 0
5;6441;244;0 1 2 9 4 3 6 7 11 8 5 10 0
6;6443;244;0 1 2 9 4 3 6 7 11 8 5 10 0
7;6438;244;0 1 2 9 4 3 6 7 11 8 5 10 0
8;6713;244;0 1 2 9 4 3 6 7 11 8 5 10 0
9;6422;244;0 1 2 9 4 3 6 7 11 8 5 10 0
10;6398;244;0 1 2 9 4 3 6 7 11 8 5 10 0
11;6454;244;0 1 2 9 4 3 6 7 11 8 5 10 0
12;6415;244;0 1 2 9 4 3 6 7 11 8 5 10 0
13;6397;244;0 1 2 9 4 3 6 7 11 8 5 10 0
14;6398;244;0 1 2 9 4 3 6 7 11 8 5 10 0
15;6394;244;0 1 2 9 4 3 6 7 11 8 5 10 0
sredni czas [ms];;;
6446;;;
;;;
;;;
plik:;g/gr13.txt;;
wynik optymalny:;266;;
liczba wierzcholkow:;13;;
iteracja;czas [ms];wynik;sciezka
1;78768;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
2;78791;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
3;78825;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
4;78682;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
5;78862;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
6;78561;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
7;78949;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
8;78718;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
9;78695;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
10;78614;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
11;78627;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
12;78697;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
13;78488;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
14;78701;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
15;79027;266;0 1 12 7 11 6 4 3 9 5 10 8 2 0
sredni czas [ms];;;
78733;;;
;;;
;;;
BADANIE;21:54:21;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6s.txt,g/gr7s.txt,g/gr8s.txt,g/gr9s.txt,g/gr10s.txt,g/gr11s.txt,g/gr12s.txt,g/gr13s.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr7s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;7;;
iteracja;czas [ms];wynik;sciezka
1;0;215;0 3 2 4 6 1 5 0
2;0;215;0 3 2 4 6 1 5 0
3;0;215;0 3 2 4 6 1 5 0
4;0;215;0 3 2 4 6 1 5 0
5;0;215;0 3 2 4 6 1 5 0
6;0;215;0 3 2 4 6 1 5 0
7;0;215;0 3 2 4 6 1 5 0
8;0;215;0 3 2 4 6 1 5 0
9;0;215;0 3 2 4 6 1 5 0
10;0;215;0 3 2 4 6 1 5 0
11;0;215;0 3 2 4 6 1 5 0
12;0;215;0 3 2 4 6 1 5 0
13;0;215;0 3 2 4 6 1 5 0
14;0;215;0 3 2 4 6 1 5 0
15;0;215;0 3 2 4 6 1 5 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr8s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;8;;
iteracja;czas [ms];wynik;sciezka
1;0;202;0 3 2 4 1 6 7 5 0
2;0;202;0 3 2 4 1 6 7 5 0
3;0;202;0 3 2 4 1 6 7 5 0
4;0;202;0 3 2 4 1 6 7 5 0
5;0;202;0 3 2 4 1 6 7 5 0
6;0;202;0 3 2 4 1 6 7 5 0
7;0;202;0 3 2 4 1 6 7 5 0
8;0;202;0 3 2 4 1 6 7 5 0
9;0;202;0 3 2 4 1 6 7 5 0
10;1;202;0 3 2 4 1 6 7 5 0
11;0;202;0 3 2 4 1 6 7 5 0
12;0;202;0 3 2 4 1 6 7 5 0
13;0;202;0 3 2 4 1 6 7 5 0
14;0;202;0 3 2 4 1 6 7 5 0
15;0;202;0 3 2 4 1 6 7 5 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr9s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;9;;
iteracja;czas [ms];wynik;sciezka
1;6;215;0 3 4 2 8 7 6 1 5 0
2;6;215;0 3 4 2 8 7 6 1 5 0
3;6;215;0 3 4 2 8 7 6 1 5 0
4;6;215;0 3 4 2 8 7 6 1 5 0
5;6;215;0 3 4 2 8 7 6 1 5 0
6;6;215;0 3 4 2 8 7 6 1 5 0
7;6;215;0 3 4 2 8 7 6 1 5 0
8;6;215;0 3 4 2 8 7 6 1 5 0
9;7;215;0 3 4 2 8 7 6 1 5 0
10;7;215;0 3 4 2 8 7 6 1 5 0
11;6;215;0 3 4 2 8 7 6 1 5 0
12;6;215;0 3 4 2 8 7 6 1 5 0
13;7;215;0 3 4 2 8 7 6 1 5 0
14;6;215;0 3 4 2 8 7 6 1 5 0
15;6;215;0 3 4 2 8 7 6 1 5 0
sredni czas [ms];;;
6;;;
;;;
;;;
plik:;g/gr10s.txt;;
wynik optymalny:;212;;
liczba wierzcholkow:;10;;
iteracja;czas [ms];wynik;sciezka
1;59;212;0 3 4 2 8 7 6 9 1 5 0
2;59;212;0 3 4 2 8 7 6 9 1 5 0
3;58;212;0 3 4 2 8 7 6 9 1 5 0
4;58;212;0 3 4 2 8 7 6 9 1 5 0
5;59;212;0 3 4 2 8 7 6 9 1 5 0
6;58;212;0 3 4 2 8 7 6 9 1 5 0
7;59;212;0 3 4 2 8 7 6 9 1 5 0
8;56;212;0 3 4 2 8 7 6 9 1 5 0
9;58;212;0 3 4 2 8 7 6 9 1 5 0
10;59;212;0 3 4 2 8 7 6 9 1 5 0
11;62;212;0 3 4 2 8 7 6 9 1 5 0
12;58;212;0 3 4 2 8 7 6 9 1 5 0
13;58;212;0 3 4 2 8 7 6 9 1 5 0
14;59;212;0 3 4 2 8 7 6 9 1 5 0
15;60;212;0 3 4 2 8 7 6 9 1 5 0
sredni czas [ms];;;
58;;;
;;;
;;;
plik:;g/gr11s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;11;;
iteracja;czas [ms];wynik;sciezka
1;589;251;0 1 8 4 6 2 9 7 5 3 10 0
2;581;251;0 1 8 4 6 2 9 7 5 3 10 0
3;571;251;0 1 8 4 6 2 9 7 5 3 10 0
4;588;251;0 1 8 4 6 2 9 7 5 3 10 0
5;578;251;0 1 8 4 6 2 9 7 5 3 10 0
6;581;251;0 1 8 4 6 2 9 7 5 3 10 0
7;573;251;0 1 8 4 6 2 9 7 5 3 10 0
8;577;251;0 1 8 4 6 2 9 7 5 3 10 0
9;578;251;0 1 8 4 6 2 9 7 5 3 10 0
10;578;251;0 1 8 4 6 2 9 7 5 3 10 0
11;575;251;0 1 8 4 6 2 9 7 5 3 10 0
12;573;251;0 1 8 4 6 2 9 7 5 3 10 0
13;571;251;0 1 8 4 6 2 9 7 5 3 10 0
14;574;251;0 1 8 4 6 2 9 7 5 3 10 0
15;576;251;0 1 8 4 6 2 9 7 5 3 10 0
sredni czas [ms];;;
577;;;
;;;
;;;
plik:;g/gr12s.txt;;
wynik optymalny:;264;;
liczba wierzcholkow:;12;;
iteracja;czas [ms];wynik;sciezka
1;6498;264;0 1 8 4 6 2 11 9 7 5 3 10 0
2;6445;264;0 1 8 4 6 2 11 9 7 5 3 10 0
3;6446;264;0 1 8 4 6 2 11 9 7 5 3 10 0
4;6472;264;0 1 8 4 6 2 11 9 7 5 3 10 0
5;6464;264;0 1 8 4 6 2 11 9 7 5 3 10 0
6;6461;264;0 1 8 4 6 2 11 9 7 5 3 10 0
7;6473;264;0 1 8 4 6 2 11 9 7 5 3 10 0
8;6470;264;0 1 8 4 6 2 11 9 7 5 3 10 0
9;6463;264;0 1 8 4 6 2 11 9 7 5 3 10 0
10;6469;264;0 1 8 4 6 2 11 9 7 5 3 10 0
11;6446;264;0 1 8 4 6 2 11 9 7 5 3 10 0
12;6449;264;0 1 8 4 6 2 11 9 7 5 3 10 0
13;6445;264;0 1 8 4 6 2 11 9 7 5 3 10 0
14;6477;264;0 1 8 4 6 2 11 9 7 5 3 10 0
15;6457;264;0 1 8 4 6 2 11 9 7 5 3 10 0
sredni czas [ms];;;
6462;;;
;;;
;;;
plik:;g/gr13s.txt;;
wynik optymalny:;269;;
liczba wierzcholkow:;13;;
iteracja;czas [ms];wynik;sciezka
1;79016;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
2;79051;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
3;79376;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
4;79439;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
5;79296;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
6;79254;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
7;79194;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
8;79270;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
9;79142;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
10;79237;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
11;79230;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
12;79437;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
13;79313;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
14;79280;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
15;79065;269;0 10 3 5 7 9 11 2 6 4 8 1 12 0
sredni czas [ms];;;
79240;;;
;;;
;;;
BADANIE;23:30:01;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr14s.txt, iterations=1, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
BADANIE;23:58:55;;
metoda:;brute-force;;
konfiguracja:;branches=3         , input_files=g/gr6.txt,g/gr6s.txt, iterations=15, max_exec_time_s=1800, search_type=2            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, ;;
;;;
plik:;g/gr6.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;6;;
iteracja;czas [ms];wynik;sciezka
1;0;132;0 1 2 3 4 5 0
2;0;132;0 1 2 3 4 5 0
3;0;132;0 1 2 3 4 5 0
4;0;132;0 1 2 3 4 5 0
5;0;132;0 1 2 3 4 5 0
6;0;132;0 1 2 3 4 5 0
7;0;132;0 1 2 3 4 5 0
8;0;132;0 1 2 3 4 5 0
9;0;132;0 1 2 3 4 5 0
10;0;132;0 1 2 3 4 5 0
11;0;132;0 1 2 3 4 5 0
12;0;132;0 1 2 3 4 5 0
13;0;132;0 1 2 3 4 5 0
14;0;132;0 1 2 3 4 5 0
15;0;132;0 1 2 3 4 5 0
sredni czas [ms];;;
0;;;
;;;
;;;
plik:;g/gr6s.txt;;
wynik optymalny:;-1;;
liczba wierzcholkow:;6;;
iteracja;czas [ms];wynik;sciezka
1;0;158;0 3 2 4 1 5 0
2;0;158;0 3 2 4 1 5 0
3;0;158;0 3 2 4 1 5 0
4;0;158;0 3 2 4 1 5 0
5;0;158;0 3 2 4 1 5 0
6;0;158;0 3 2 4 1 5 0
7;0;158;0 3 2 4 1 5 0
8;0;158;0 3 2 4 1 5 0
9;0;158;0 3 2 4 1 5 0
10;0;158;0 3 2 4 1 5 0
11;0;158;0 3 2 4 1 5 0
12;0;158;0 3 2 4 1 5 0
13;0;158;0 3 2 4 1 5 0
14;0;158;0 3 2 4 1 5 0
15;0;158;0 3 2 4 1 5 0
sredni czas [ms];;;
0;;;


BADANIE;13:37:30
metoda:;brute-force
konfiguracja:;branches=3         , input_files=g/gr9.txt,g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr9.txt
wynik optymalny:;193
liczba wierzcholkow:;9
iteracja;czas [ms];wynik;sciezka
1;13;193;0 1 2 7 8 5 6 4 3 0
sredni czas [ms]
13


plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;192;209;0 1 9 4 5 3 6 7 8 2 0
sredni czas [ms]
192


BADANIE;14:33:03
metoda:;brute-force
konfiguracja:;branches=3         , input_files=g/gr10.txt, iterations=1, max_exec_time_s=1800, search_type=0            , starting_node_bb=-1          # warto, starting_node_nn=-1          # warto, 

plik:;g/gr10.txt
wynik optymalny:;209
liczba wierzcholkow:;10
iteracja;czas [ms];wynik;sciezka
1;77;209;0 1 9 4 5 3 6 7 8 2 0
sredni czas [ms]
77
